Name,Value,Description,AppliesTo
LookupDefaultToCustSite,,Default lookup to the customer/site tab,FieldAccess
ManualXOiJobCreation,,Technician will manually create XOi per assignment,FieldAccess
MapHome,"33.6793,-117.8474","Use as the center of the map when no other points available. latitude,longitude",FieldGateway
MaxAssignmentsDisplayed,0,Max trips displayed. If set to greater than 0 then trips will be sorted oldest to newest by scheduled date . Sorting and searching will not be avilable.,FieldAccess
MaxLookupResults,100,The maximum number of results to display for lookups/searches,All
MinAddressConfidence,High,The minimum confidence level of a lat/lon returned by the geocoder service. Does not apply when using Map Point,FieldGateway
MiscCostOrPrice,None,Show cost or price field for misc items,FieldAccess
MiscFormsHideSvcItemList,,Hide the serviceable item list on the misc forms page,FieldAccess
MultiDateBulkNonStock,,Start and end dates for bulk non stock entries,FieldAccess
MultiDayTripRetrieval,,Retrieve trips marked as multiday in calendar and schedule views.,All
MultipleAttachmentUpload,1,Allow multiple attachments to be uploaded at once,All
MustHaveLocationServices,,"To Log In, User must have location services turned on",FieldAccess
NewSiteSelectTaxCode,,Allow tax code selection when creating a new site.,FieldAccess
NewTripCreation,,Allow ceation of new trips for a work order,FieldAccess
NewTripDefaultUnscheduled,,Default 'leave unscheduled' selection to true,FieldAccess
NonStockPriceEntry,,Allow price entry for non stock 'other materials',FieldAccess
NonstockSetDate,,Allow the tech to set the date of non-stock entries,FieldAccess
NotifyCancelledQuote,,Send notification email when a quote is cancelled,FieldQuotes
OfficeReviewInvoiceAmount,5000,Dollar Invoice Amount to require Office review of Quote. Zero indicates no limit.,FieldQuotes
OfflineDays,"5,5","Number of days past and future to retrieve when going offline. Max is 5,5. Only applies if UsingOffline = multiple trips.",FieldAccess
OfflineFullSyncDate,1/1/2024,"Used to force a full sync of offline list data such as parts, std items, labor codes, etc. Enter a date in the format M/d/yyyy",FieldAccess
OLHistoryReport,VPDefaultHistory.htm,The name of the report to include with offline history records,FieldAccess
OLMaxHistory,5,Max history. Range is 0 to 10. Keep to a minimum to reduce downloaded data size and decrease download times.,FieldAccess
OLMaxTrips,30,Max trips when using multiple trips. Range is 1 to 30. Count begins with the oldest trip scheduled,FieldAccess
OLShowCompletedTrips,,Show trips completed offline in the trips list. Only applies if UsingOffline = multiple trips.,FieldAccess
OpenDetailsInNewWindow,1,"Open detail pages in new window. Applies to work order, equipment and site detail pages",FieldGateway
OpenEditInNewWindow,,Open edit page in new window. Applies to find an work orders pages,FieldGateway
OverrideAutoComplete,,Do not execute auto complete work order when follow up check box is checked.,FieldAccess
OverrideNonBillable,,Ability to set the non billable value of a work completed item on the advanced pages.,FieldAccess
OvertimePayType,15 - Regular Time,EarnType to use for overtime.,FieldAccess
PagingMessageFormat,Email,Send text or email when alerting technician,FieldGateway
PaymentReceiptAttachType,ACIS Project Scope - ACIS Agreement with Scope Details,The type to use when saving payment receipt attachments to the DM module. The list is filtered to only show custom types.,All
PayPeriodStartEnd,TH-WE,For pay period selection,FieldTime
PdfOrientationLandscape,,Orientation of the generated pdf,FieldTime
PlanningEventHeight,16,Height of planning view event cells - defaults to 16 - min is 16,FieldGateway
POCreation,,Allow users to create POs for a work order.,FieldGateway
POHeaderCreation,,Allow techs to create a PO header.,FieldAccess
POItemCreation,,Allow po items to be added to a new PO.,FieldAccess
POItemsAllMaterials,,Allow selection of any material for a PO item. Not limited to an inventory location.,FieldAccess
POItemsMaxCost,,Maximum allowed cost for all items on a PO. Zero or blank indicates no maximum.,FieldAccess
PONumberEntry,,Allow manual PO number entry,FieldAccess
PONumberEntryDispatch,,Allow manual PO number entry,FieldGateway
PORequestIncludeAttchments,,Select existing attachments to include with PO request,FieldAccess
PreloadBulkNonStock,,Preload non stock bulk add grid,FieldAccess
PreselectAttachments,Both,Preselect attachments on the service report email page,FieldAccess
PreventTripCompleteIfXOIJobOpen,,Prevent trip completion if XOi job is not complete,FieldAccess
PRLockTimesheet,1,Lock the timesheet if PTEnterdByMethod is Global.,All
ProjectReport,VPDefaultDailyProjectReport.htm,Report file name.,FieldProject
ProjReportVPAttachType,AR Cash Receipts - Customer Check Copy,The type to use when saving project reports to the DM module. The list is filtered to only show custom types.,All
PTCreateTimeHeader,,Create timesheets for payroll periods if they do not exist.,FieldAccess
PTDefaultEarnCode,1 - Regular (HOURLY),Default earn code for project timesheet entries if employee default earn code is not found.,FieldAccess
PTEnterdByMethod,Global,Project time timesheet entry employee. If Global then PTEntryEmployee nedds to be set.,FieldAccess
PTEntryEmployee,Jennifer R. Rodriguez,Timesheet entry employee if PTEnterdByMethod = Global.,FieldAccess
QRScan,1,Enable Scan QR Code for part number,All
QuoteAllowWOAssociation,,Allow associating a work order with a quote when the quote is created. Vista 6.15 and above.,FieldQuotes
QuoteCreateCustomerSite,None,Allow new customer and / or site creation.,FieldQuotes
QuoteExpirationDays,30,Days from current day that new Quotes are set to expire,FieldQuotes
QuoteLookupPermission,None,Lookup page permissions,FieldQuotes
QuoteNewSiteSelectTaxCode,,Allow tax code selection when creating a new site.,FieldQuotes
QuoteReportInternalOnly,,The quote report is not emailed to the customer,FieldQuotes
QuoteReportVPAttachType,Maintenance Estimate - PM Agreement Estimate,The type to use when saving quote reports to the DM module. The list is filtered to only show custom types. Must be different than default type for the SMWorkOrderQuote form,FieldQuotes
QuoteSiteHistoryDaysPast,180,Days past for quote history.,FieldQuotes
QuoteWOAssocEditable,None,Allow work order association editing.,FieldQuotes
ReduceImageAttachments,None,Reduce image attachments before uploading. This may also reduce the image quality.,All
RejectionReasons,"Timeframe,Scope,Budget,Other",Rejection reasons displayed on report signature page,FieldQuotes
ReportViewerRequireSignature,1,Require a signature on the service report,FieldAccess
RequestProcessCreateEmailRouting,Configured Plus Roles,"Email Recipients for Request, Process, and Create",FieldDirect
RequirePOShipLocation,,"PO Ship Location must have a value, cannot be blank",All
RoundLaborToNearest,,Round labor to nearest value of labor rounding point,FieldAccess
RoundStatusTime,None,Round status time to nearest RoundStatusTimeMinutes minutes. Only applies if edit status date and time are truned on.,All
RoundStatusTimeMinutes,15,Number of minutes to round time entry for status change. See RoundStatusTime,All
SaveFormsAsAttachments,1,Save completed forms as attachments.,FieldAccess
SaveFTReportAsAttachment,,Save FieldTime reports as attachments in the employee record,FieldTime
SaveXOIDataOnComplete,No,Save XOi captured data when completing either the trip or scope,FieldAccess
SaveXOIDataPlateData,None,Save XOi dataplate data to the serviceable item. Blank values will not be used.,FieldAccess
SaveXOIDataPlateNote,,Save XOi dataplate note to the serviceable item note,FieldAccess
SaveXOiNotes,None,Save XOi Note data to notes,FieldAccess
SaveXOITranscriptNote,Work Order Note,Save XOi transcript data to notes,FieldAccess
SaveXOiWorkSummary,None,Save XOi Work Summary data to notes,FieldAccess
ScheduleBeginEnd,"6,21",Schedule page begin and end hour (24 hour format),FieldAccess
ScopeCompleteSelection,,Allow tech to select whether or not to close a scope when completing a trip,FieldAccess
ScopeDetailsEditable,,Allow editing of scope details,FieldQuotes
ScopeNotesHandling,None,Scope notes handling.,FieldAccess
ScopeNotesHandlingDispatch,None,Scope notes handling.,FieldGateway
ScopesInSiteHistory,,Retrieve scopes for each work order in site history.,FieldAccess
SelectInvLocation,,Ability to select an inventory location for parts.,FieldAccess
SelectJCCompany,,Select the job company tech is working in,FieldProject
SendPOCreatedAlert,,Send an alert email when a PO is created,FieldAccess
ServiceQuote,ACISVPDQuote.htm,Name of the ServiceQuote page,FieldQuotes
ServiceReport,ACISVPDefaultReport.htm,Name of the aspx service report page.,All
ServiceReportLogo,ACIS_Final_Logo_Dark.jpg,Logo used on service report,All
ServiceRequestToCenterEmail,,Use the default site center email in place of the Service Request email,FieldDirect
ServReportVPAttachType,SM Attachments - Service Reports & Logs,The type to use when saving service reports to the DM module. The list is filtered to only show custom types. If IntegratedServiceReports is true this setting is mandatory,All
SetMiscPrice,1,Allow editing of misc items price for non-standard entries,FieldQuotes
SetRateTemplateReadOnly,,Set rate template selection to read only,FieldQuotes
ShowAllAgreements,,Show all agreements including inactive and expired,FieldDirect
ShowAttachmentDefaultCategories,1,Display the default attachment categories,All
ShowAttachThumbnail,Yes - Default Off,Show thumbnail image in attachment list. Only applies to image type attachments,All
ShowCertifiedPayrollOnNewWO,,Show Certified Payroll in new work order page,All
ShowCompletedWorkOrders,,Show assignments where the work order is complete.,FieldGateway
ShowCostInNonStockBulkList,,Show cost in non stock bulk entry page,FieldAccess
ShowEstActualHours,,Show estimated and actaul hours for job and phase in labor summary.,FieldProject
ShowFlatRatePrice,,Show the scope flat rate price on the trip details page,FieldAccess
ShowIsCertified,,Display the Certified Payroll work order value in trip details,FieldAccess
ShowMemo,,Show the memo field. Only available with LaborThrougPayroll,FieldTime
ShowNotToExceed,,Show scope not to exceed in trip details,FieldAccess
ShowPlanning,,Show planning page,FieldAccess
ShowPriceMethod,,Show the scope price method on the trip details page,FieldAccess
ShowPriceServiceInNonStockBulkList,,Show price service in non stock bulk entry page,FieldAccess
ShowProjectDailyLogs,,Show project daily logs on trip detail page,FieldGateway
ShowQuoteAttachments,,Show attachments for the related quote,All
ShowQuotes,,Show quotes list and quote properties,FieldDirect
ShowReportAfterComplete,Never,Show report after the trip has been completed,FieldAccess
ShowSchedule,,Show calendar schedule page.,FieldAccess
ShowSecuredVPAttachTypes,1,Show secured types. Applies when UsingVPAttachTypes is true,All
ShowSMCostType,,Show SM Cost Type when entering labor,FieldAccess
ShowStatusHistory,1,Show grid of status dates and times.,FieldAccess
ShowToolsMenu,1,Tools menu in FieldAccess,FieldAccess
ShowTripNotes,,Show trip notes in the work order details page,FieldDirect
SiteHistoryDaysPast,1825,The number of days in the past to show service site history information. Applies to the SiteHistory page.,FieldAccess
SiteHistoryDefaultToLogs,,Default to logs tab in site history for job based work orders,FieldAccess
SMTPAuthPassword,<<redacted>>,Password of authentication user,All
SMTPAuthUser,<<redacted>>,Username of the user to authenticate with the email server,All
SMTPPort,<<redacted>>,Port to use to connect to SMTP server,All
SMTPServer,<<redacted>>,Email server domain name. Example: mail.myco.com,All
SMTPUsesSSL,1,Use SSL when forwarding email,All
SpecifyScopePriceMethod,,Allow user to specify the scope price method when creating a new work order.,All
StatusDateTimeEdit,1,Allow the date and time of status changes to be editable.,FieldAccess
StatusLaborTypeSelect,,Allow user to select labor and pay type for labor entries from status changes. Role.ShowEarnType must be on for pay type selection.,FieldAccess
SummaryColumns,"regular,overtime,doubletime,other","Columns shown in summary view - Available: regular,overtime,doubletime,other",FieldTime
SyncStatusCancelInVista,,When quote is set to cancelled set Vista quote cancelled,FieldQuotes
TaskDescriptionUpdate,,Ability to update the task descriptions,FieldQuotes
TaskReport,,Task report template name,FieldAccess
TaskReportVPAttachType,ACIS Project Scope - ACIS Agreement with Scope Details,The type to use when saving task reports to the DM module. The list is filtered to only show custom types.,FieldAccess
TechSelectNewWorkOrder,All,Permission to select a different tech for new work order and trip,FieldAccess
TimeCardSignature,,Capture signature,FieldTime
TimeClockMode,None,"Clock in, out mode",FieldAccess
TrackRealTime,,Labor record created when suspending a call and completing a call.,FieldAccess
TravelTimeLaborCode,110 - Repair,Repair code for travel time entries.,FieldAccess
TravelTimePayType,15 - Regular Time,Pay type for travel time entries.,FieldAccess
TripScheduleChange,,Allow tech to change the trip schedule date/time,FieldAccess
TripsInSiteHistory,,Retrieve trips for each work order in site history..,FieldAccess
UnappliedMemoRequired,,Require a memo to be entered for unapplied time entries,FieldAccess
UnappliedTimeBreaks,,Allow break time entry in unapplied time. Only applies when using labor through payroll.,FieldAccess
UseAgreementRateTemplate,,Use the rate template from the selected agreement for new quotes,FieldQuotes
UseEquipLocationLookup,,Lookup equipment by location.,FieldAccess
UseFieldTimeV2,,Use the FieldTime version 2 page,FieldTime
UseLogicalStatusProgression,,Only allow status to be changed to the next logical step. For exaample if the trip is EnRoute then only selection available will be Arrived. Some statuses may allow mutliple selections and should be filtered out if not wanted.,FieldAccess
UseNextPREndDate,,Use a PR End Date from Vista instead of from payroll period setting for labor through payroll records,All
UseOnlyBatchCreatedBy,,Use only payroll batches that have been created by this user,All
UseSiteDescription,q,Display site description instead of site id.,FieldTime
UsingApprovals,q,FieldTime approvals,FieldTime
UsingAttachments,1,Enable or disable attachments,All
UsingFollowUpTemplates,,Using follow-up email templates,FieldAccess
UsingFormDataDescription,,Using form data descriptions,FieldAccess
UsingFormDataPreLoad,,When starting a new form the data can be pre-loaded from that last completed form for that site.,FieldAccess
UsingForms,,Flag to indicate required forms in use,All
UsingFTApprovalProcess,,Using the FieldTime approval process,FieldTime
UsingInspectionReport,,Inpection report functionality,FieldAccess
UsingInventoryGroups,,Inventory group selection for parts,FieldAccess
UsingMealApproval,,Daily meal approval checkboxes,FieldTime
UsingOffline,Multiple Trips,Allow offline mode,FieldAccess
UsingRequestCreate,,"Enables call request , create and process",FieldDirect
UsingSiteEquipFormsPage,1,Site equipment forms page visibility.,FieldAccess
UsingStandardNotes,1,Using standard notes,FieldAccess
UsingStatusCheckChange,1,Custom status change validation,FieldAccess
UsingUnappliedTime,1,Indirect labor hours,FieldAccess
UsingUnassignedTrips,,Enable unassigned trips list,FieldAccess
UsingUnscheduledTrips,,Enable unscheduled trips list.,FieldAccess
UsingVPAttachTypes,All Types,Allow users to select the attachment type when uploading attachments.,All
UsingXOiIntegration,1,Using XOi Integration,All
VPJCCompany,,The JC company id. ONLY SET THIS IF NOT USING SM. VPSMCompany MUST BE BLANK,All
VPSMCompany,1,SM Company,All
WODisplayDaysRange,"365,30",Days past and future for Trip list page,FieldAccess
WoPOVPAttachType,ACIS Project Scope - ACIS Agreement with Scope Details,The type to use when saving work order PO attachments to the DM module. The list is filtered to only show custom types.,FieldAccess
WorkOrderPOAttachments,1,Allow user to add attachments for work order POs,FieldAccess
XOIApiIntegrationBaseId,<<redacted>>,The unique lookup id that identifies the customer integration. 10 character minimum,All
XOIApiJobsUrl,<<redacted>>,The URL to the XOi Jobs API,All
XOIApiKey,<<redacted>>,The API key for authentication,All
XOIApiSecret,<<redacted>>,The API secret for authentication,All
XOIApiShareUrl,<<redacted>>,The URL to the XOi Share API,All
XOIApiUserDataUrl,<<redacted>>,The URL to the XOi User Data API,All
XOIApiUserUrl,<<redacted>>,The URL to the XOi Users API,All
ZipReportEmailAttachments,1,Zip up all attachments including forms when emailing the service report,FieldAccess